Pokemon,Obtainability Method,Location/Details,Level/Requirement
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 22
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 22
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 22
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 15
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 20
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 22
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 22
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 15
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 20
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 22
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 22
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 15
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 20
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 22
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 22
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 15
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 20
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 22
MISDREAVUS,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 22
MOLTRES,Legendary,Mt. Ember (Summit),Lv. 50; can only catch one
MR_MIME,In-Game Trade,Route 2,Trade Abra for Mr. Mime (nicknamed MARCEL)
MUK,Wild - Walking/Grass,Pokemon Mansion 1F,Lv 32
MUK,Wild - Walking/Grass,Pokemon Mansion 2F,Lv 32
MUK,Wild - Walking/Grass,Pokemon Mansion 3F,Lv 32
MUK,Wild - Walking/Grass,Pokemon Mansion B1F,Lv 34
MUK,Evolution,From Grimer,Level 38
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room1,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room1,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room2,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room2,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room3,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room3,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room4,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room4,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room5,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room5,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room6,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room6,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room7,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room7,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room8,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room8,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room9,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room10,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 15
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 20
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room11,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 15
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 20
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room12,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 15
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 20
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room13,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 15
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 20
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 22
MURKROW,Wild - Walking/Grass,Five Island Lost Cave Room14,Lv 22
NATU,Wild - Walking/Grass,Six Island Ruin Valley,Lv 15
NATU,Wild - Walking/Grass,Six Island Ruin Valley,Lv 20
NATU,Wild - Walking/Grass,Six Island Ruin Valley,Lv 20
NATU,Wild - Walking/Grass,Six Island Ruin Valley,Lv 15
NATU,Wild - Walking/Grass,Six Island Ruin Valley,Lv 20
NATU,Wild - Walking/Grass,Six Island Ruin Valley,Lv 20
NIDOKING,Evolution,From Nidorino + Moon Stone,Use Stone
NIDOQUEEN,Evolution,From Nidorina + Moon Stone,Use Stone
NIDORAN_F,Wild - Walking/Grass,Safari Zone East,Lv 24
NIDORAN_F,Wild - Walking/Grass,Safari Zone West,Lv 30
NIDORAN_F,Wild - Walking/Grass,Route2,Lv 4
NIDORAN_F,Wild - Walking/Grass,Route3,Lv 6
NIDORAN_F,Wild - Walking/Grass,Safari Zone Center,Lv 22
NIDORAN_F,Wild - Walking/Grass,Safari Zone East,Lv 24
NIDORAN_F,Wild - Walking/Grass,Safari Zone North,Lv 30
NIDORAN_F,Wild - Walking/Grass,Safari Zone West,Lv 22
NIDORAN_F,Wild - Walking/Grass,Route3,Lv 6
NIDORAN_F,Wild - Walking/Grass,Route3,Lv 7
NIDORAN_M,Wild - Walking/Grass,Safari Zone Center,Lv 22
NIDORAN_M,Wild - Walking/Grass,Safari Zone East,Lv 24
NIDORAN_M,Wild - Walking/Grass,Safari Zone North,Lv 30
NIDORAN_M,Wild - Walking/Grass,Safari Zone West,Lv 22
NIDORAN_M,Wild - Walking/Grass,Route2,Lv 4
NIDORAN_M,Wild - Walking/Grass,Route3,Lv 6
NIDORAN_M,Wild - Walking/Grass,Route3,Lv 7
NIDORAN_M,Wild - Walking/Grass,Safari Zone East,Lv 24
NIDORAN_M,Wild - Walking/Grass,Safari Zone West,Lv 30
NIDORAN_M,Wild - Walking/Grass,Route3,Lv 6
NIDORINA,Wild - Walking/Grass,Safari Zone Center,Lv 31
NIDORINA,Wild - Walking/Grass,Safari Zone North,Lv 30
NIDORINA,Wild - Walking/Grass,Safari Zone Center,Lv 31
NIDORINA,Wild - Walking/Grass,Safari Zone East,Lv 33
NIDORINA,Wild - Walking/Grass,Safari Zone North,Lv 30
NIDORINA,Wild - Walking/Grass,Safari Zone West,Lv 30
NIDORINA,Evolution,From Nidoran_F,Level 16
NIDORINO,Wild - Walking/Grass,Safari Zone Center,Lv 31
NIDORINO,Wild - Walking/Grass,Safari Zone East,Lv 33
NIDORINO,Wild - Walking/Grass,Safari Zone North,Lv 30
NIDORINO,Wild - Walking/Grass,Safari Zone West,Lv 30
NIDORINO,Wild - Walking/Grass,Safari Zone Center,Lv 31
NIDORINO,Wild - Walking/Grass,Safari Zone North,Lv 30
NIDORINO,Evolution,From Nidoran_M,Level 16
NINETALES,Wild - Walking/Grass,Pokemon Mansion 1F,Lv 34
NINETALES,Evolution,From Vulpix + Fire Stone,Use Stone
NINJASK,Evolution,From Nincada,Level
NOCTOWL,Evolution,From Hoothoot,Level 20
NUZLEAF,Evolution,From Seedot,Level 14
OCTILLERY,Evolution,From Remoraid,Level 25
ODDISH,Wild - Walking/Grass,Three Island Berry Forest,Lv 30
ODDISH,Wild - Walking/Grass,Two Island Cape Brink,Lv 30
ODDISH,Wild - Walking/Grass,Two Island Cape Brink,Lv 32
ODDISH,Wild - Walking/Grass,Three Island Bond Bridge,Lv 31
ODDISH,Wild - Walking/Grass,Six Island Water Path,Lv 44
ODDISH,Wild - Walking/Grass,Route5,Lv 13
ODDISH,Wild - Walking/Grass,Route5,Lv 15
ODDISH,Wild - Walking/Grass,Route6,Lv 13
ODDISH,Wild - Walking/Grass,Route6,Lv 15
ODDISH,Wild - Walking/Grass,Route6,Lv 16
ODDISH,Wild - Walking/Grass,Route7,Lv 19
ODDISH,Wild - Walking/Grass,Route7,Lv 22
ODDISH,Wild - Walking/Grass,Route12,Lv 24
ODDISH,Wild - Walking/Grass,Route12,Lv 22
ODDISH,Wild - Walking/Grass,Route12,Lv 26
ODDISH,Wild - Walking/Grass,Route13,Lv 24
ODDISH,Wild - Walking/Grass,Route13,Lv 22
ODDISH,Wild - Walking/Grass,Route13,Lv 26
ODDISH,Wild - Walking/Grass,Route14,Lv 24
ODDISH,Wild - Walking/Grass,Route14,Lv 22
ODDISH,Wild - Walking/Grass,Route14,Lv 26
ODDISH,Wild - Walking/Grass,Route15,Lv 24
ODDISH,Wild - Walking/Grass,Route15,Lv 22
ODDISH,Wild - Walking/Grass,Route15,Lv 26
ODDISH,Wild - Walking/Grass,Route24,Lv 12
ODDISH,Wild - Walking/Grass,Route24,Lv 13
ODDISH,Wild - Walking/Grass,Route24,Lv 14
ODDISH,Wild - Walking/Grass,Route25,Lv 14
ODDISH,Wild - Walking/Grass,Route25,Lv 13
ODDISH,Wild - Walking/Grass,Route25,Lv 12
OMANYTE,Wild - Fishing,Seafoam Islands B4F,Lv 30
OMANYTE,Fossil,Mt. Moon (Helix Fossil),Revive at Cinnabar Island Lab
OMASTAR,Evolution,From Omanyte,Level 40
ONIX,Wild - Walking/Grass,Victory Road 1F,Lv 40
ONIX,Wild - Walking/Grass,Victory Road 1F,Lv 43
ONIX,Wild - Walking/Grass,Victory Road 1F,Lv 46
ONIX,Wild - Walking/Grass,Victory Road 2F,Lv 45
ONIX,Wild - Walking/Grass,Victory Road 2F,Lv 48
ONIX,Wild - Walking/Grass,Victory Road 3F,Lv 40
ONIX,Wild - Walking/Grass,Victory Road 3F,Lv 43
ONIX,Wild - Walking/Grass,Victory Road 3F,Lv 46
ONIX,Wild - Walking/Grass,Rock Tunnel 1F,Lv 13
ONIX,Wild - Walking/Grass,Rock Tunnel 1F,Lv 15
ONIX,Wild - Walking/Grass,Rock Tunnel B1F,Lv 13
ONIX,Wild - Walking/Grass,Rock Tunnel B1F,Lv 15
ONIX,Wild - Walking/Grass,Rock Tunnel B1F,Lv 17
ONIX,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 54
ONIX,Wild - Walking/Grass,Victory Road 1F,Lv 40
ONIX,Wild - Walking/Grass,Victory Road 1F,Lv 43
ONIX,Wild - Walking/Grass,Victory Road 1F,Lv 46
ONIX,Wild - Walking/Grass,Victory Road 2F,Lv 45
ONIX,Wild - Walking/Grass,Victory Road 2F,Lv 48
ONIX,Wild - Walking/Grass,Victory Road 3F,Lv 40
ONIX,Wild - Walking/Grass,Victory Road 3F,Lv 43
ONIX,Wild - Walking/Grass,Victory Road 3F,Lv 46
ONIX,Wild - Walking/Grass,Rock Tunnel 1F,Lv 13
ONIX,Wild - Walking/Grass,Rock Tunnel 1F,Lv 15
ONIX,Wild - Walking/Grass,Rock Tunnel B1F,Lv 13
ONIX,Wild - Walking/Grass,Rock Tunnel B1F,Lv 15
ONIX,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 54
PARAS,Wild - Walking/Grass,Mt Moon 1F,Lv 8
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 7
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 8
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 5
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 6
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 9
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 10
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 7
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 8
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 5
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 6
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 9
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 10
PARAS,Wild - Walking/Grass,Mt Moon B2F,Lv 10
PARAS,Wild - Walking/Grass,Mt Moon B2F,Lv 12
PARAS,Wild - Walking/Grass,Safari Zone East,Lv 22
PARAS,Wild - Walking/Grass,Safari Zone East,Lv 22
PARAS,Wild - Walking/Grass,Safari Zone East,Lv 22
PARAS,Wild - Walking/Grass,Safari Zone North,Lv 23
PARAS,Wild - Walking/Grass,Safari Zone North,Lv 23
PARAS,Wild - Walking/Grass,Safari Zone North,Lv 23
PARAS,Wild - Walking/Grass,Mt Moon 1F,Lv 8
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 7
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 8
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 5
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 6
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 9
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 10
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 7
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 8
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 5
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 6
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 9
PARAS,Wild - Walking/Grass,Mt Moon B1F,Lv 10
PARAS,Wild - Walking/Grass,Mt Moon B2F,Lv 10
PARAS,Wild - Walking/Grass,Mt Moon B2F,Lv 12
PARAS,Wild - Walking/Grass,Safari Zone East,Lv 22
PARAS,Wild - Walking/Grass,Safari Zone East,Lv 22
PARAS,Wild - Walking/Grass,Safari Zone East,Lv 22
PARAS,Wild - Walking/Grass,Safari Zone North,Lv 23
PARAS,Wild - Walking/Grass,Safari Zone North,Lv 23
PARAS,Wild - Walking/Grass,Safari Zone North,Lv 23
PARASECT,Wild - Walking/Grass,Safari Zone Center,Lv 30
PARASECT,Wild - Walking/Grass,Safari Zone East,Lv 25
PARASECT,Wild - Walking/Grass,Cerulean Cave 1F,Lv 49
PARASECT,Wild - Walking/Grass,Cerulean Cave 1F,Lv 58
PARASECT,Wild - Walking/Grass,Cerulean Cave 2F,Lv 52
PARASECT,Wild - Walking/Grass,Cerulean Cave 2F,Lv 61
PARASECT,Wild - Walking/Grass,Cerulean Cave B1F,Lv 55
PARASECT,Wild - Walking/Grass,Cerulean Cave B1F,Lv 64
PARASECT,Wild - Walking/Grass,Safari Zone Center,Lv 30
PARASECT,Wild - Walking/Grass,Safari Zone East,Lv 25
PARASECT,Wild - Walking/Grass,Cerulean Cave 1F,Lv 49
PARASECT,Wild - Walking/Grass,Cerulean Cave 1F,Lv 58
PARASECT,Wild - Walking/Grass,Cerulean Cave 2F,Lv 52
PARASECT,Wild - Walking/Grass,Cerulean Cave 2F,Lv 61
PARASECT,Wild - Walking/Grass,Cerulean Cave B1F,Lv 55
PARASECT,Wild - Walking/Grass,Cerulean Cave B1F,Lv 64
PARASECT,Evolution,From Paras,Level 24
PELIPPER,Evolution,From Wingull,Level 25
PERSIAN,Wild - Walking/Grass,One Island Kindle Road,Lv 37
PERSIAN,Wild - Walking/Grass,One Island Kindle Road,Lv 40
PERSIAN,Wild - Walking/Grass,One Island Treasure Beach,Lv 37
PERSIAN,Wild - Walking/Grass,One Island Treasure Beach,Lv 40
PERSIAN,Wild - Walking/Grass,Two Island Cape Brink,Lv 37
PERSIAN,Wild - Walking/Grass,Two Island Cape Brink,Lv 40
PERSIAN,Wild - Walking/Grass,Three Island Bond Bridge,Lv 37
PERSIAN,Wild - Walking/Grass,Three Island Bond Bridge,Lv 40
PERSIAN,Wild - Walking/Grass,Five Island Meadow,Lv 47
PERSIAN,Wild - Walking/Grass,Five Island Meadow,Lv 50
PERSIAN,Wild - Walking/Grass,Six Island Water Path,Lv 47
PERSIAN,Wild - Walking/Grass,Six Island Water Path,Lv 50
PERSIAN,Wild - Walking/Grass,Six Island Ruin Valley,Lv 49
PERSIAN,Wild - Walking/Grass,Six Island Ruin Valley,Lv 52
PERSIAN,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 47
PERSIAN,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 50
PERSIAN,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 49
PERSIAN,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 52
PERSIAN,Wild - Walking/Grass,One Island Kindle Road,Lv 37
PERSIAN,Wild - Walking/Grass,One Island Kindle Road,Lv 40
PERSIAN,Wild - Walking/Grass,One Island Treasure Beach,Lv 37
PERSIAN,Wild - Walking/Grass,One Island Treasure Beach,Lv 40
PERSIAN,Wild - Walking/Grass,Two Island Cape Brink,Lv 37
PERSIAN,Wild - Walking/Grass,Two Island Cape Brink,Lv 40
PERSIAN,Wild - Walking/Grass,Three Island Bond Bridge,Lv 37
PERSIAN,Wild - Walking/Grass,Three Island Bond Bridge,Lv 40
PERSIAN,Wild - Walking/Grass,Five Island Meadow,Lv 47
PERSIAN,Wild - Walking/Grass,Five Island Meadow,Lv 50
PERSIAN,Wild - Walking/Grass,Six Island Water Path,Lv 47
PERSIAN,Wild - Walking/Grass,Six Island Water Path,Lv 50
PERSIAN,Wild - Walking/Grass,Six Island Ruin Valley,Lv 49
PERSIAN,Wild - Walking/Grass,Six Island Ruin Valley,Lv 52
PERSIAN,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 47
PERSIAN,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 50
PERSIAN,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 49
PERSIAN,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 52
PERSIAN,Evolution,From Meowth,Level 28
PHANPY,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 10
PHANPY,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 15
PHANPY,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 15
PHANPY,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 15
PHANPY,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 10
PHANPY,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 15
PHANPY,Wild - Walking/Grass,Seven Island Sevault Canyon Entrance,Lv 15
PHANPY,Wild - Walking/Grass,Seven Island Sevault Canyon,Lv 15
PIDGEOT,Evolution,From Pidgeotto,Level 36
PIDGEOTTO,Wild - Walking/Grass,Three Island Berry Forest,Lv 37
PIDGEOTTO,Wild - Walking/Grass,Three Island Bond Bridge,Lv 34
PIDGEOTTO,Wild - Walking/Grass,Three Island Bond Bridge,Lv 37
PIDGEOTTO,Wild - Walking/Grass,Three Island Bond Bridge,Lv 40
PIDGEOTTO,Wild - Walking/Grass,Five Island Meadow,Lv 48
PIDGEOTTO,Wild - Walking/Grass,Five Island Meadow,Lv 50
PIDGEOTTO,Wild - Walking/Grass,Five Island Meadow,Lv 50
PIDGEOTTO,Wild - Walking/Grass,Route13,Lv 29
PIDGEOTTO,Wild - Walking/Grass,Route13,Lv 29
PIDGEOTTO,Wild - Walking/Grass,Route14,Lv 29
PIDGEOTTO,Wild - Walking/Grass,Route14,Lv 29
PIDGEOTTO,Wild - Walking/Grass,Route15,Lv 29
PIDGEOTTO,Wild - Walking/Grass,Route15,Lv 29
PIDGEOTTO,Wild - Walking/Grass,Three Island Berry Forest,Lv 37
PIDGEOTTO,Wild - Walking/Grass,Three Island Bond Bridge,Lv 34
PIDGEOTTO,Wild - Walking/Grass,Three Island Bond Bridge,Lv 37
PIDGEOTTO,Wild - Walking/Grass,Three Island Bond Bridge,Lv 40
PIDGEOTTO,Wild - Walking/Grass,Five Island Meadow,Lv 48
PIDGEOTTO,Wild - Walking/Grass,Five Island Meadow,Lv 50
PIDGEOTTO,Wild - Walking/Grass,Five Island Meadow,Lv 50
PIDGEOTTO,Wild - Walking/Grass,Route13,Lv 29
PIDGEOTTO,Wild - Walking/Grass,Route13,Lv 29
PIDGEOTTO,Wild - Walking/Grass,Route14,Lv 29
PIDGEOTTO,Wild - Walking/Grass,Route14,Lv 29
PIDGEOTTO,Wild - Walking/Grass,Route15,Lv 29
PIDGEOTTO,Wild - Walking/Grass,Route15,Lv 29
PIDGEOTTO,Evolution,From Pidgey,Level 18
PIDGEY,Wild - Walking/Grass,Three Island Berry Forest,Lv 32
PIDGEY,Wild - Walking/Grass,Three Island Bond Bridge,Lv 32
PIDGEY,Wild - Walking/Grass,Three Island Bond Bridge,Lv 29
PIDGEY,Wild - Walking/Grass,Five Island Meadow,Lv 44
PIDGEY,Wild - Walking/Grass,Route1,Lv 3
PIDGEY,Wild - Walking/Grass,Route1,Lv 3
PIDGEY,Wild - Walking/Grass,Route1,Lv 2
PIDGEY,Wild - Walking/Grass,Route1,Lv 3
PIDGEY,Wild - Walking/Grass,Route1,Lv 4
PIDGEY,Wild - Walking/Grass,Route2,Lv 3
PIDGEY,Wild - Walking/Grass,Route2,Lv 4
PIDGEY,Wild - Walking/Grass,Route2,Lv 2
PIDGEY,Wild - Walking/Grass,Route2,Lv 5
PIDGEY,Wild - Walking/Grass,Route3,Lv 6
PIDGEY,Wild - Walking/Grass,Route3,Lv 7
PIDGEY,Wild - Walking/Grass,Route5,Lv 13
PIDGEY,Wild - Walking/Grass,Route5,Lv 15
PIDGEY,Wild - Walking/Grass,Route5,Lv 16
PIDGEY,Wild - Walking/Grass,Route5,Lv 15
PIDGEY,Wild - Walking/Grass,Route6,Lv 13
PIDGEY,Wild - Walking/Grass,Route6,Lv 15
PIDGEY,Wild - Walking/Grass,Route6,Lv 16
PIDGEY,Wild - Walking/Grass,Route6,Lv 15
PIDGEY,Wild - Walking/Grass,Route6,Lv 15
PIDGEY,Wild - Walking/Grass,Route7,Lv 19
PIDGEY,Wild - Walking/Grass,Route7,Lv 22
PIDGEY,Wild - Walking/Grass,Route8,Lv 18
PIDGEY,Wild - Walking/Grass,Route8,Lv 20
PIDGEY,Wild - Walking/Grass,Route12,Lv 23
PIDGEY,Wild - Walking/Grass,Route12,Lv 25
PIDGEY,Wild - Walking/Grass,Route12,Lv 27
PIDGEY,Wild - Walking/Grass,Route12,Lv 23
PIDGEY,Wild - Walking/Grass,Route12,Lv 23
PIDGEY,Wild - Walking/Grass,Route13,Lv 27
PIDGEY,Wild - Walking/Grass,Route13,Lv 25
PIDGEY,Wild - Walking/Grass,Route14,Lv 27
PIDGEY,Wild - Walking/Grass,Route15,Lv 27
PIDGEY,Wild - Walking/Grass,Route15,Lv 25
PIDGEY,Wild - Walking/Grass,Route24,Lv 11
PIDGEY,Wild - Walking/Grass,Route24,Lv 13
PIDGEY,Wild - Walking/Grass,Route25,Lv 13
PIDGEY,Wild - Walking/Grass,Route25,Lv 11
PIDGEY,Wild - Walking/Grass,Three Island Berry Forest,Lv 32
PIDGEY,Wild - Walking/Grass,Three Island Bond Bridge,Lv 32
PIDGEY,Wild - Walking/Grass,Three Island Bond Bridge,Lv 29
PIDGEY,Wild - Walking/Grass,Five Island Meadow,Lv 44
PIDGEY,Wild - Walking/Grass,Route1,Lv 3
PIDGEY,Wild - Walking/Grass,Route1,Lv 3
PIDGEY,Wild - Walking/Grass,Route1,Lv 2
PIDGEY,Wild - Walking/Grass,Route1,Lv 3
PIDGEY,Wild - Walking/Grass,Route1,Lv 4
PIDGEY,Wild - Walking/Grass,Route1,Lv 5
PIDGEY,Wild - Walking/Grass,Route2,Lv 3
PIDGEY,Wild - Walking/Grass,Route2,Lv 4
PIDGEY,Wild - Walking/Grass,Route2,Lv 2
PIDGEY,Wild - Walking/Grass,Route2,Lv 5
PIDGEY,Wild - Walking/Grass,Route3,Lv 6
PIDGEY,Wild - Walking/Grass,Route3,Lv 7
PIDGEY,Wild - Walking/Grass,Route5,Lv 13
PIDGEY,Wild - Walking/Grass,Route5,Lv 15
PIDGEY,Wild - Walking/Grass,Route5,Lv 16
PIDGEY,Wild - Walking/Grass,Route5,Lv 15
PIDGEY,Wild - Walking/Grass,Route5,Lv 15
PIDGEY,Wild - Walking/Grass,Route6,Lv 13
PIDGEY,Wild - Walking/Grass,Route6,Lv 15
PIDGEY,Wild - Walking/Grass,Route6,Lv 16
PIDGEY,Wild - Walking/Grass,Route6,Lv 15
PIDGEY,Wild - Walking/Grass,Route6,Lv 15
PIDGEY,Wild - Walking/Grass,Route7,Lv 19
PIDGEY,Wild - Walking/Grass,Route7,Lv 22
PIDGEY,Wild - Walking/Grass,Route8,Lv 18
PIDGEY,Wild - Walking/Grass,Route8,Lv 20
PIDGEY,Wild - Walking/Grass,Route12,Lv 23
PIDGEY,Wild - Walking/Grass,Route12,Lv 25
PIDGEY,Wild - Walking/Grass,Route12,Lv 27
PIDGEY,Wild - Walking/Grass,Route12,Lv 23
PIDGEY,Wild - Walking/Grass,Route12,Lv 23
PIDGEY,Wild - Walking/Grass,Route13,Lv 27
PIDGEY,Wild - Walking/Grass,Route13,Lv 25
PIDGEY,Wild - Walking/Grass,Route14,Lv 27
PIDGEY,Wild - Walking/Grass,Route15,Lv 27
PIDGEY,Wild - Walking/Grass,Route15,Lv 25
PIDGEY,Wild - Walking/Grass,Route24,Lv 11
PIDGEY,Wild - Walking/Grass,Route24,Lv 13
PIDGEY,Wild - Walking/Grass,Route25,Lv 13
PIDGEY,Wild - Walking/Grass,Route25,Lv 11
PIKACHU,Wild - Walking/Grass,Viridian Forest,Lv 3
PIKACHU,Wild - Walking/Grass,Viridian Forest,Lv 5
PIKACHU,Wild - Walking/Grass,Power Plant,Lv 22
PIKACHU,Wild - Walking/Grass,Power Plant,Lv 24
PIKACHU,Wild - Walking/Grass,Power Plant,Lv 26
PIKACHU,Wild - Walking/Grass,Power Plant,Lv 26
PIKACHU,Wild - Walking/Grass,Route10,Lv 14
PIKACHU,Wild - Walking/Grass,Viridian Forest,Lv 3
PIKACHU,Wild - Walking/Grass,Viridian Forest,Lv 5
PIKACHU,Wild - Walking/Grass,Power Plant,Lv 22
PIKACHU,Wild - Walking/Grass,Power Plant,Lv 24
PIKACHU,Wild - Walking/Grass,Power Plant,Lv 26
PIKACHU,Wild - Walking/Grass,Power Plant,Lv 26
PIKACHU,Evolution,From Pichu,Friendship (220+)
PILOSWINE,Evolution,From Swinub,Level 33
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 23
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 25
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 27
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 23
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 25
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 29
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 19
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 21
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 27
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 21
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 27
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 23
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 25
PINECO,Wild - Walking/Grass,Six Island Altering Cave,Lv 22
